	노래제목	가수
0	Ditto	NewJeans
1	OMG	NewJeans
2	Hype boy	NewJeans
3	사랑하기 싫어	지아
4	사건의 지평선	윤하 (YOUNHA)
5	사랑은 늘 도망가	임영웅
6	Teddy Bear	STAYC(스테이씨)
7	파이팅 해야지 (Feat. 이영지)	부석순 (SEVENTEEN)
8	심(心)	DK(디셈버)
9	I Don't Think That I Like Her	Charlie Puth
10	우리들의 블루스	임영웅
11	VIBE (feat. Jimin of BTS)	태양
12	다시 만날 수 있을까	임영웅
13	Attention	NewJeans
14	나비무덤	포맨 (4MEN)
15	London Boy	임영웅
16	CHRISTIAN	Zior Park
17	Polaroid	임영웅
18	이제 나만 믿어요	임영웅
19	무지개	임영웅
20	ANTIFRAGILE	LE SSERAFIM (르세라핌)
21	After LIKE	IVE (아이브)
22	아버지	임영웅
23	on the street (with J. Cole)	j-hope, J. Cole
24	Nostalgia	우디 (Woody)
25	A bientot	임영웅
26	인생찬가	임영웅
27	손이 참 곱던 그대	임영웅
28	사랑해 진짜	임영웅
29	사랑인가 봐	멜로망스
30	LOVE DIVE	IVE (아이브)
31	연애편지	임영웅
32	Candy	NCT DREAM
33	Set Me Free Pt.2	지민
34	Dynamite	방탄소년단
35	Rush Hour (Feat. j-hope of BTS)	Crush
36	보금자리	임영웅
37	너의 모든 순간	성시경
38	Dangerously	Charlie Puth
39	NIGHT DANCER	imase
40	봄날	방탄소년단
41	건물 사이에 피어난 장미 (Rose Blossom)	H1-KEY (하이키)
42	Nxde	(여자)아이들
43	너와 함께	김민석 (멜로망스)
44	Monologue	테이
45	Butter	방탄소년단
46	That's Hilarious	Charlie Puth
47	해요 (2022)	#안녕
48	혼자가 아닌 나	정효빈
49	Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound)	정국, 방탄소년단
50	새삥 (Prod. ZICO) (Feat. 호미들)	지코 (ZICO)
51	Say I Love You	우디 (Woody)
52	Cookie	NewJeans
53	결국엔 너에게 닿아서	WSG워너비 (가야G)
54	사랑이라 믿었던 것들은 (Feat. 이수현)	BIG Naughty (서동현)
55	취중고백	김민석 (멜로망스)
56	Shut Down	BLACKPINK
57	Unholy	Sam Smith, Kim Petras
58	STAY	The Kid LAROI, Justin Bieber
59	Sugar Rush Ride	투모로우바이투게더
60	Permission to Dance	방탄소년단
61	내가 아니라도	주호
62	TOMBOY	(여자)아이들
63	그때 그 순간 그대로 (그그그)	WSG워너비 (가야G)
64	NOT SORRY (Feat. pH-1) (Prod. by Slom)	이영지
65	너를 보는게 지친 하루에	송하예
66	That That (prod. & feat. SUGA of BTS)	싸이 (PSY)
67	Pink Venom	BLACKPINK
68	FEARLESS	LE SSERAFIM (르세라핌)
69	Expectations	Anne-Marie, 민니 ((여자)아이들), (여자)아이들
70	그라데이션	10CM
71	Poppy (Korean Ver.)	STAYC(스테이씨)
72	다정히 내 이름을 부르면	경서예지, 전건호
73	정이라고 하자 (Feat. 10CM)	BIG Naughty (서동현)
74	그대를 알고	송하예
75	Left and Right (Feat. Jung Kook of BTS)	Charlie Puth, 정국, 방탄소년단
76	오르트구름	윤하 (YOUNHA)
77	그중에 그대를 만나	김호중
78	마지막 사랑	신예영
79	모든 날, 모든 순간 (Every day, Every Moment)	폴킴
80	잘가요	주호
81	ELEVEN	IVE (아이브)
82	당신을 만나	김호중, 송가인
83	네가 보고 싶은 건 자연스러운 거겠지	신예영
84	나의 X에게	경서
85	그댄 행복에 살텐데 (2022)	최유리
86	Yet To Come	방탄소년단
87	그대라는 사치	임창정
88	딱 10CM만	10CM, BIG Naughty (서동현)
89	Off My Face	Justin Bieber
90	되돌리다	먼데이 키즈 (Monday Kiz)
91	나의 목소리로	김호중
92	자격지심 (Feat. ZICO)	BE'O (비오)
93	LOVE me	BE'O (비오)
94	밤하늘의 별을(2020)	경서
95	아모르 파티	이홍기 (FT아일랜드)
96	봄여름가을겨울 (Still Life)	BIGBANG (빅뱅)
97	떠나보낼 준비해 둘걸 그랬어	임한별
98	이젠 안녕	투모로우바이투게더
99	보고싶었어	WSG워너비(4FIRE)
